ascending,descending,steady midrange,random,high range,low range,sparse 
1,200,106,165,174,48,
2,199,94,104,151,23,
3,198,114,106,168,47,
4,197,111,143,179,4,
5,196,102,16,187,8,
6,195,105,157,157,26,
7,194,92,124,150,35,
8,193,116,90,185,22,
9,192,108,173,158,10,
10,191,84,37,163,1,
11,190,101,79,191,41,
12,189,109,36,169,25,
13,188,117,91,177,20,
14,187,103,41,175,6,
15,186,95,99,156,15,
16,185,93,116,197,17,
17,184,120,58,171,30,
18,183,97,50,167,3,
19,182,78,83,164,32,
20,181,119,196,165,24,
21,180,87,1,176,2,
22,179,90,100,200,28,
23,178,104,169,152,45,
24,177,85,114,154,43,
25,176,100,20,153,0,
26,175,110,152,172,16,
27,174,83,189,173,21,
28,173,112,160,170,39,
29,172,121,18,161,9,
30,171,75,108,162,14,9
31,170,98,2,198,49,
32,169,96,27,188,46,
33,168,77,63,199,31,
34,167,118,135,155,11,
35,166,107,97,194,18,
36,165,91,30,160,13,
37,164,86,23,193,50,
38,163,79,113,166,19,
39,162,99,120,196,7,
40,161,80,8,195,34,
41,160,82,150,159,5,
42,159,125,84,183,29,
43,158,81,147,190,12,
44,157,123,162,189,37,
45,156,124,25,186,33,
46,155,115,140,184,27,190
47,154,122,68,181,44,
48,153,88,72,178,36,
49,152,89,21,192,42,
50,151,113,6,182,40,
51,150,76,197,180,38,
52,149,106,71,174,48,
53,148,94,176,151,23,
54,147,114,102,168,47,
55,146,111,137,179,4,23
56,145,102,166,187,8,
57,144,105,3,157,26,
58,143,92,77,150,35,
59,142,116,28,185,22,
60,141,108,29,158,10,
61,140,84,95,163,1,
62,139,101,151,191,41,
63,138,109,153,169,25,
64,137,117,125,177,20,
65,136,103,32,175,6,
66,135,95,67,156,15,
67,134,93,10,197,17,
68,133,120,64,171,30,
69,132,97,59,167,3,
70,131,78,24,164,32,
71,130,119,70,165,24,
72,129,87,61,176,2,
73,128,90,7,200,28,
74,127,104,17,152,45,
75,126,85,122,154,43,
76,125,100,111,153,0,
77,124,110,66,172,16,
78,123,83,39,173,21,196
79,122,112,168,170,39,
80,121,121,170,161,9,
81,120,75,163,162,14,
82,119,98,46,198,49,
83,118,96,181,188,46,
84,117,77,74,199,31,
85,116,118,174,155,11,
86,115,107,12,194,18,88
87,114,91,128,160,13,
88,113,86,45,193,50,
89,112,79,34,166,19,
90,111,99,132,196,7,
91,110,80,40,195,34,
92,109,82,101,159,5,
93,108,125,110,183,29,
94,107,81,4,190,12,
95,106,123,86,189,37,
96,105,124,126,186,33,
97,104,115,60,184,27,
98,103,122,136,181,44,
99,102,88,180,178,36,
100,101,89,26,192,42,7
101,100,113,73,182,40,
102,99,76,161,180,38,
103,98,106,57,174,48,
104,97,94,123,151,23,
105,96,114,31,168,47,
106,95,111,33,179,4,
107,94,102,109,187,8,
108,93,105,100,157,26,
109,92,92,35,150,35,
110,91,116,42,185,22,
111,90,108,55,158,10,
112,89,84,38,163,1,
113,88,101,44,191,41,
114,87,109,5,169,25,
115,86,117,56,177,20,
116,85,103,118,175,6,
117,84,95,22,156,15,
118,83,93,171,197,17,
119,82,120,154,171,30,
120,81,97,15,167,3,
121,80,78,179,164,32,
122,79,119,88,165,24,46
123,78,87,11,176,2,
124,77,90,94,200,28,
125,76,104,156,152,45,
126,75,85,78,154,43,
127,74,100,139,153,0,
128,73,110,81,172,16,
129,72,83,105,173,21,
130,71,112,142,170,39,
131,70,121,48,161,9,
132,69,75,87,162,14,
133,68,98,129,198,49,
134,67,96,85,188,46,
135,66,77,130,199,31,
136,65,118,182,155,11,
137,64,107,141,194,18,
138,63,91,9,160,13,
139,62,86,62,193,50,
140,61,79,138,166,19,
141,60,99,131,196,7,
142,59,80,144,195,34,
143,58,82,80,159,5,
144,57,125,183,183,29,
145,56,81,43,190,12,
146,55,123,146,189,37,
147,54,124,133,186,33,
148,53,115,13,184,27,
149,52,122,158,181,44,
150,51,88,92,178,36,
151,50,89,47,192,42,123
152,49,113,103,182,40,
153,48,76,96,180,38,
154,47,106,148,174,48,
155,46,94,14,151,23,
156,45,114,112,168,47,
157,44,111,145,179,4,
158,43,102,117,187,8,
159,42,105,186,157,26,
160,41,92,134,150,35,
161,40,116,155,185,22,
162,39,108,185,158,10,
163,38,84,159,163,1,
164,37,101,127,191,41,
165,36,109,107,169,25,
166,35,117,177,177,20,
167,34,103,178,175,6,
168,33,95,164,156,15,
169,32,93,75,197,17,
170,31,120,49,171,30,
171,30,97,51,167,3,16
172,29,78,121,164,32,
173,28,119,53,165,24,
174,27,87,52,176,2,
175,26,90,149,200,28,
176,25,104,119,152,45,
177,24,85,198,154,43,
178,23,100,172,153,0,
179,22,110,175,172,16,
180,21,83,184,173,21,
181,20,112,19,170,39,
182,19,121,187,161,9,
183,18,75,194,162,14,
184,17,98,69,198,49,
185,16,96,93,188,46,
186,15,77,98,199,31,
187,14,118,193,155,11,
188,13,107,195,194,18,
189,12,91,192,160,13,
190,11,86,199,193,50,
191,10,79,190,166,19,
192,9,99,188,196,7,
193,8,80,191,195,34,
194,7,82,200,159,5,
195,6,125,89,183,29,
196,5,81,76,190,12,
197,4,123,167,189,37,
198,3,124,115,186,33,
199,2,115,54,184,27,22
200,1,122,65,181,44,
